day,dateBegin,dateEnd,title,description
Freitag,01.03.2019,null,Semesterbeginn, null
Montag,11.03.2019,null,Vorlesungsbeginn, null
Samstag,16.03.2019,null,Ersti-Brunch, null
Mittwoch,27.03.2019,null,Vollversammlung, null
Donnerstag,28.03.2019,null,Girls’Day,Girls’Day Campus Sontheim und Künzelsau
Mittwoch,03.04.2019,null,Zentraler Semesterempfang,zentraler Semesterempfang für alle Professor/inn/en und Mitarbeiter/innen (13 Uhr)
Dienstag,09.04.2019,11.04.2019,Prüfungsausschusssitzungen der Fakultäten,null
Mittwoch,17.04.2019,null,Prüfungsamt,Frist Einreichung Prüfungsausschussbeschlüsse beim Prüfungsamt
Freitag,19.04.2019,null,Vorlesungsfrei - Karfreitag,null
Freitag,19.04.2019,03.05.2019,Prüfungsleistung,Anmeldung zu den Prüfungsleistungen unter https://stud.zv.hs-heilbronn.de
Montag,22.04.2019,null,Vorlesungsfrei - Ostermontag,null
Dienstag,23.04.2019,25.04.2019,Studieren probieren,„Studieren probieren“ an allen vier Standorten
Mittwoch,01.05.2019,null,Vorlesungsfrei - Tag der Arbeit,null
Samstag,04.05.2019,null,Graduierungsfeier,Graduierungsfeier der Fakultäten IT TP WV und HILL – Bildungscampus
Dienstag,07.05.2019,null,Firmenkontaktmesse,Firmenkontaktmesse vitaminb Campus Künzelsau
Dienstag,14.05.2019,null,Firmenkontaktmesse,Firmenkontaktmesse MeetBUSINESS Bildungscampus
Freitag,17.05.2019,null,Graduierungsfeier,Graduierungsfeier der Fakultäten IB und T1 – Bildungscampus Graduierungsfeier Campus Künzelsau – Reinhold-Würth-Hochschule
Montag,20.05.2019,21.05.2019,Wahlen,Wahlen zu Senat und Fakultätsräten
Mittwoch,22.05.2019,null,sports ´n summer,sports ´n summer / Sport- und Sommerfest für Studierende Professoren und Mitarbeiter aller Standorte am Campus Sontheim (ab 13 Uhr)
Donnerstag,23.05.2019,null,Campus Night,Campus Night Schwäbisch Hall
Freitag,24.05.2019,null,Campus Night,Open Campus Night Künzelsau
Donnerstag,30.05.2019,null,Vorlesungsfrei - Christi Himmelfahrt,null
Montag,11.06.2019,14.06.2019,Vorlesungsfrei,null
Montag,10.06.2019,19.06.2019,Prüfungsleistungen,Abmeldemöglichkeit von den Prüfungsleistungen unter https://stud.zv.hs-heilbronn.de 
Mittwoch,12.06.2019,null,Prüfungstermine,Prüfungstermine sind endgültig
Donnerstag,20.06.2019,null,Vorlesungsfrei - Fronleichnam,null
Freitag,28.06.2019,null,Ende der Vorlesungszeit,null
Mittwoch,03.07.2019,null,Betriebsausflug,Betriebsausflug für Mitarbeiter & Professoren der Hochschule
Donnerstag,04.07.2019,null,Beginn der Prüfungsleistungen,null
Donnerstag,25.07.2019,null,Ende der Prüfungsleistungen,null
Montag,08.07.2019,05.08.2019,Beiträge,Frist für die Überweisung des Studierendenwerksbeitrags und die Verwaltungsgebühr für das Folgesemester (Rückmeldezeitraum)
Montag,05.08.2019,null,Notenmeldung,Frist für die Notenmeldung über das Internet (Lehrende)
Montag,12.08.2019,null,Modulnotenkombination,Frist für die Abgabe der genehmigten Modulnotenkombination sowie aller weiteren erforderlichen Unterlagen als Voraussetzung zur Teilnahme an der Graduierungsfeier (Studierende)
Freitag,30.08.2019,null,Semesterende,null